,"ARUSHA",,,,,,,,
"S/N","Name of School","Nr of students","Nr of staff","Copies","PO Box","Area","D/N.#","Date","Copies"
1,"Arusha SS"," 1,200 "," 75 "," 150 ",3162,"Arusha","20401",10-Aug-07,150
2,"Ilboru SS"," 600 "," 60 "," 50 ",3014,"Arusha","20402",10-Aug-07,50
3,"Karatu SS"," 620 "," 45 "," 50 ",62,"Karatu","20403",10-Aug-07,50
4,"Legeruki Tech. SS"," 239 "," 18 "," 50 ",6,"Usa River","20404",23-Aug-07,50
5,"Longido SS"," 300 "," 20 "," 50 ",8530,"Namanga","20405",31-Aug-07,50
6,"Monduli SS"," 400 "," 23 "," 50 ",5,"Monduli","20406",29-Aug-07,50
7,"Moringe SS"," 500 "," 24 "," 50 ",60,"Monduli","20407",29-Aug-07,50
8,"Mringa SS"," 650 "," 32 "," 50 ",7188,"Arumeru","20408",03-Aug-07,50
9,"Oldonyo Sambu SS"," 210 "," 13 "," 50 ",2247,"Arusha","20409",10-Aug-07,50
10,"Tumaini ss"," 280 "," 15 "," 50 ",197,"Mbulu","20410",22-Aug-07,50
11,"Endarofta SS"," 320 "," 16 "," 50 ",65,"Karatu","20411",10-Aug-07,50
12,"Digodigo ss"," 321 "," 20 "," 50 ",23,"Ngorongoro","20412",10-Aug-07,50
13,"Elakwahhi ss"," 360 "," 20 "," 50 ",41,"Ngorongoro","20413",22-Aug-07,50
14,"Awet ss"," 250 "," 22 "," 50 ",215,"Karatu","20414",10-Aug-07,50
15,"Makuyuni ss"," 340 "," 11 "," 50 ",39,"Monduli","20415",07-Aug-07,50
16,"Oldadai ss"," 420 "," 27 "," 50 ",1883,"Arusha","20416",10-Aug-07,50
17,"Irkisongo SS"," 260 "," 22 "," 50 ",43,"Monduli","20417",10-Aug-07,50
18,"Mukulat SS"," 386 "," 20 "," 50 ",4140,"Ngaramtoni","20418",10-Aug-07,50
19,"King'ori ss"," 335 "," 12 "," 50 ",7229,"Usa River","20419",23-Aug-07,50
20,"Kikatiti ss"," 270 "," 18 "," 50 ",262,"Usa River","20420",23-Aug-07,50
21,"Makumira ss"," 750 "," 17 "," 100 ",96,"Usa River","20421",10-Aug-07,100
22,"Emanyata ss"," 93 "," 7 "," 50 ",94,"Loliondo","20422",10-Aug-07,50
23,"Enyoita ss"," 320 "," 15 "," 50 ",14281,"Arumeru","20423",10-Aug-07,50
24,"Nshupu ss"," 280 "," 16 "," 50 ",3,"Usa Mbulu","20424",10-Aug-07,50
25,"Oljoro ss"," 205 "," 12 "," 50 ",1506,"Arumeru","20425",27-Aug-07,50
26,"Ekenywa  ss"," 510 "," 21 "," 50 ",2358,"Arusha","20426",10-Aug-07,50
27,"Nduruma ss"," 240 "," 8 "," 50 ",276,"Arusha","20427",28-Aug-07,50
28,"Makiba ss"," 250 "," 20 "," 50 ",408,"UsaRiver","20301",21-Aug-07,50
29,"Loliondo ss"," 300 "," 10 "," 50 ",11127,"Arusha","20400",31-Jul-07,50
30,"Florian ss"," 298 "," 16 "," 50 ",279,"Karatu","20303",10-Aug-07,50
31,"Maasae Girls ss"," 200 "," 9 "," 50 ",519,"Monduli","20304",10-Aug-07,50
32,"Kinyamki ss"," 320 "," 22 "," 50 ",4040,"Ngaramtoni","20305",03-Aug-07,50
33,"Einoti ss"," 320 "," 20 "," 50 ",15018,"Arusha","20306",22-Aug-07,50
34,"Olmotonyi ss"," 400 "," 16 "," 50 ",791,"Usa River","20367",31-Jul-07,50
35,"Nkoaranga ss"," 320 "," 5 "," 50 ",448,"Usa River","20308",10-Aug-07,50
36,"Usa River Academy"," 47 "," 17 "," 50 ",9,"Arumeru","20368",22-Aug-07,50
37,"Arusha Catholic seminary"," 350 "," 18 "," 50 ",519,"Arusha","20310",10-Aug-07,50
38,"Karangai ss"," 300 "," 48 "," 50 ",83,"Usa River","20311",05-Sep-07,50
39,"Arusha -Meru SS"," 760 "," 30 "," 100 ",710,"Arusha","20313",10-Aug-07,100
40,"Enaboishu ss"," 450 "," 18 "," 50 ",3120,"Arusha","20351",10-Aug-07,50
41,"Akeri ss"," 320 "," 19 "," 50 ",2697,"Arumeru","20314",10-Aug-07,50
42,"Ilkidanga ss"," 329 "," 32 "," 50 ",3191,"Arumeru","20315",10-Aug-07,50
43,"Arusha Day ss"," 350 "," 23 "," 50 ",2444,"Arusha","20316",31-Jul-07,50
44,"Kaloleni ss"," 333 "," 26 "," 50 ",15088,"Arusha","20317",21-Aug-07,50
45,"Bondeni ss"," 450 "," 20 "," 50 ",2668,"Arusha","20352",21-Aug-07,50
46,"Jaffery ss"," 160 "," 22 "," 50 ",3031,"Arusha","20318",31-Jul-07,50
47,"Kimandolu ss"," 470 "," 50 "," 50 ",8212,"Arusha","20353",10-Aug-07,50
48,"Ngarenaro ss"," 500 "," 22 "," 50 ",8032,"Arusha","20319",21-Aug-07,50
49,"Sekei ss"," 210 "," 8 "," 50 ",3044,"Arusha","20320",21-Aug-07,50
50,"Ngateu"," 125 "," 28 "," 50 ",3102,"Arusha","20312",10-Aug-07,50
51,"Edmund Rice seminary"," 100 "," 15 "," 50 ",7131,"Arusha","20354",22-Aug-07,50
52,"Moita ss"," 289 "," 23 "," 50 ","p/bag","Monduli","20321",18-Aug-07,50
53,"Nkoarua ss"," 288 "," 10 "," 50 ","p/bag","Arumeru","20322",10-Aug-07,50
54,"Bangata ss"," 320 "," 17 "," 50 ","p/bag","Arumeru","7879",31-Jul-07,50
55,"Sinoni ss"," 420 "," 20 "," 50 ",10477,"Arusha","20356",22-Aug-07,50
56,"St.Constantine ss"," 200 "," 10 "," 50 ","p/bag","Arumeru","20323",21-Aug-07,50
57,"Arusha Modern School"," 200 "," 10 "," 50 ","p/bag","Arumeru","20324",10-Aug-07,50
58,"Tanzania Adventist ss"," 300 "," 18 "," 50 ",737,"Usa River","20357",10-Aug-07,50
59,"Mamire ss"," 440 "," 12 "," 50 ","p/bag","Babati","20325",07-Sep-07,50
60,"Uraki ss"," 200 "," 17 "," 50 ","p/bag","Arumeru","20358",10-Aug-07,50
61,"Mlangarini ss"," 190 "," 8 "," 50 ","p/bag","Arumeru","20326",21-Sep-07,50
62,"Baraa ss"," 180 "," 10 "," 50 ",,,"20359",10-Aug-07,50
63,"Malambo ss",,," 50 ",,"Arusha","20360",07-Sep-07,50
64,"Mkidoma ss",,," 50 ",,"Arusha","20327",23-Aug-07,50
65,"Engutoto ss",,," 50 ",,"Arusha","20328",10-Aug-07,50
66,"Arusha Technical College",,," 50 ",,"Arusha","20361",10-Aug-07,50
67,"Islamic ss",,," 50 ",,"Arusha","20382",31-Jul-07,50
68,"Imanyata ss / Elerai ss",,," 50 ",,"Arusha","20362",07-Sep-07,50
69,"Sangoro ss",,," 50 ",,"Arusha","20330",10-Aug-07,50
70,"Maji Ya Chai"," 320 "," 15 "," 50 ",,"Arusha","20363",23-Aug-07,50
71,"Welwel ss"," 160 "," 16 "," 50 ",,"Arusha","20331",12-Aug-07,50
72,"Maromboso ss"," 300 "," 13 "," 50 ",,"Arusha","20364",10-Aug-07,50
73,"Ganako ss",,," 50 ",180,"Karatu","20332",08-Sep-07,50
74,"Shishton ss",,," 50 ",47,"Arumeru","20333",23-Aug-07,50
75,"Kinana ss"," 180 "," 13 "," 50 ",313,"Arusha","20365",22-Aug-07,50
76,"Kisimiri ss"," 180 "," 10 "," 50 ","p/bag","Arumeru","20334",07-Aug-07,50
77,"Monduli TTC",,," 75 ",5,"Monduli","20366",30-Aug-07,75
78,"Patandi TTc",,," 50 ",66,"Duluti","20335",10-Aug-07,50
79,"Banjika ss",,," 50 ",,,"20336",11-Aug-07,50
80,"Anagamazo ss",,," 50 ",,,"20337",10-Aug-07,50
81,"Mwandet ss",,," 50 ",,,"20342",06-Aug-07,50
82,"Diego",,," 50 ",,,"20338",03-Sep-07,50
