"In Heather's Sheet",,,,"In Amandus's Sheet",,,"What it SHOULD be",,,"Comment"
"Region","District","Name",,"Region","District","Name","Region","District","Name",
"Arusha","Arusha","CHAVITA","n",,,,,,,
"Arusha","Arusha","CHAVIWAVUTE","n",,,,,,,
"Arusha","Arusha","CHAWAKUWA","n",,,,,,,
"Arusha","Arusha","RAC","n",,,,,,,
"Arusha","Arusha","REO","n",,,,,,,
"Arusha","Arusha","UMATI youth centre","n",,,,,,,
"Arusha","Arusha","WORLD VISION TZ","n",,,,,,,
"Arusha","Kinondoni","SIC","n",,,,,,,
"Arusha","Kinondoni","VSO","n",,,,,,,
"Arusha","Monduli","YMCA","n",,,,,,,
"Coast","Bagamoyo","Bagamoyo Collage of Art","n",,,,,,,
"Coast","Bagamoyo","Imani Home based Care&Training Centre","n",,,,,,,
"Coast","Kibaha","FARAJA Orphans Support Centre","n",,,,,,,
"Coast","Kibaha","Mlandizi Women Association","n",,,,,,,
"Coast","Mafia","Chole Society for Women Dev.","n",,,,,,,
"Coast","Njombe","SAFINA FOUNDATION","n",,,,,,,
"Coast","Rufiji","Behobeho","e","Coast","Rufiji","Behobeho Camp - Oysterbay Hotel",,,,
"Coast","Rufiji","Mbuyu Safari camp","e","Coast","Rufiji","Mbuyu Safari Camp (CLOSED DOWN)",,,"Mbuyu Safari Camp","Closed down"
"Coast","Rufiji","Rufiji river camp","e","Coast","Rufiji","Rufiji River Camp (RR - PUGU)",,,"Rufiji River Camp","RR - PUGU"
"Coast","Rufiji","RUPE Kibiti","e","Coast","Rufiji","RUPE-KIBITI",,,"RUPE Kibiti",
"Coast","Rufiji","Selous Safari- DT Dobie","e","Coast","Rufiji","Selous Safari - DT Dobie",,,"Selous Safari - DT Dobie",
"Coast","Rufiji","Songas","e","Coast","Kilwa","Songas",,"Kilwa","Songas",
"Coast","Rufiji","SWAT","n",,,,,,,
"Coast","Rufiji","WWF - both WWFs done together","n",,,,,,,"Both WWFs done together"
"Dar es Salaam","Bukoba","Tanzania Human Rights Foundation","n",,,,,,,
"Dar es Salaam","Bukoba","Tanzania Orphan and Children with HIV/AIDS","n",,,,,,,
"Dar es Salaam","Bukoba","Tanzania Theatre Centre","n",,,,,,,
"Dar es Salaam","Ilala","ABCT","n",,,,,,,
"Dar es Salaam","Ilala","Amana Hospital HIV Centre","n",,,,,,,
"Dar es Salaam","Ilala","Amana Vijana Centre","n",,,,,,,
"Dar es Salaam","Ilala","AMREF","n",,,,,,,
"Dar es Salaam","Ilala","Association for environment and Elderly Care","n",,,,,,,
"Dar es Salaam","Ilala","CCBRT/M'nyamala HIV Centre","n",,,,,,,
"Dar es Salaam","Ilala","DAC","n",,,,,,,
"Dar es Salaam","Ilala","DED Volunteers","e","Dar es Salaam","Dar es Salaam","DED Tanzania/German Dev. Service",,"Ilala","DED Volunteers",
"Dar es Salaam","Ilala","Dogodogo Centre","n",,,,,,,
"Dar es Salaam","Ilala","Drug Control Commission","n",,,,,,,
"Dar es Salaam","Ilala","EAML East African Movies Limited","e","Dar es Salaam","Dar es Salaam","EAML",,"Ilala","EAML East African Movies Limited",
"Dar es Salaam","Ilala","EMAU","n",,,,,,,
"Dar es Salaam","Ilala","EOTF","n",,,,,,,
"Dar es Salaam","Ilala","EPOPA","n",,,,,,,
"Dar es Salaam","Ilala","Fantasi Sanaa Group","n",,,,,,,
"Dar es Salaam","Ilala","Femina HIP","n",,,,,,,
"Dar es Salaam","Ilala","GTZ PASHA Project","e","Dar es Salaam","Dar es Salaam","GTZ PASHA Project",,"Ilala",,
"Dar es Salaam","Ilala","GTZ Reproductive","n",,,,,,,
"Dar es Salaam","Ilala","Help age International","n",,,,,,"Help Age International",
"Dar es Salaam","Ilala","HIV/AIDS Home to Home","n",,,,,,,
"Dar es Salaam","Ilala","HOHARE","n",,,,,,,
"Dar es Salaam","Ilala","Holiday Inn Hotel","n",,,,,,,
"Dar es Salaam","Ilala","Imani Home Based Care","n",,,,,,,
"Dar es Salaam","Ilala","International Labour Org","n",,,,,,,
"Dar es Salaam","Ilala","IOGT/Drug  Abuse Centre","n",,,,,,"IOGT/Drug Abuse Centre",
"Dar es Salaam","Ilala","Karibu Tanzania Association","n",,,,,,"Karibu Tanzania Association",
"Dar es Salaam","Ilala","KIWOHEDE - DO NOT QUALIFY FOR THE SURVEY (LESS THAN 100 COPIES )","n",,,,,,"Kiwohede","DO NOT QUALIFY FOR THE SURVEY (LESS THAN 100 COPIES)"
"Dar es Salaam","Ilala","Legal and Human right Commission","n",,,,,,"Legal and Human Right Commission",
"Dar es Salaam","Ilala","MAELEZO- communications","n",,,,,,"Maelezo Communications",
"Dar es Salaam","Ilala","Mahabusu ya Watoto","n",,,,,,,
"Dar es Salaam","Ilala","Marie Stopes Tanzania","e","Dar es Salaam","Dar es Salaam","Marie stopes",,"Ilala","Marie Stopes Tanzania",
"Dar es Salaam","Ilala","Ministry of Community Dev.Gender and Children","n",,,,,,"Ministry of Community Development Gender and Children",
"Dar es Salaam","Ilala","Ministry of Defence and National Service","n",,,,,,"Ministry of Defence and National Service",
"Dar es Salaam","Ilala","Ministry of East African Cooperation","n",,,,,,"Ministry of East African Cooperation",
"Dar es Salaam","Ilala","Ministry of Education and Vocational Training","n",,,,,,"Ministry of Education and Vocational Training",
"Dar es Salaam","Ilala","Ministry of Energy and Minerals","n",,,,,,"Ministry of Energy and Minerals",
"Dar es Salaam","Ilala","Ministry of Finance","n",,,,,,"Ministry of Finance",
"Dar es Salaam","Ilala","Ministry of Foreign Affairs and International Cooperation","n",,,,,,"Ministry of Foreign Affairs and International Cooperation",
"Dar es Salaam","Ilala","Ministry of Health and Social Welfare","n",,,,,,"Ministry of Health and Social Welfare",
"Dar es Salaam","Ilala","Ministry of Higher Education,science and Technology","n",,,,,,"Ministry of Higher Education, Science and Technology",
"Dar es Salaam","Ilala","Ministry of Home Affairs","n",,,,,,"Ministry of Home Affairs",
"Dar es Salaam","Ilala","Ministry of Industry,Trade and Marketing","n",,,,,,"Ministry of Industry, Trade and Marketing",
"Dar es Salaam","Ilala","Ministry of Information Culture and Sports","n",,,,,,"Ministry of Information Culture and Sports",
"Dar es Salaam","Ilala","Ministry of Infrastructure development","n",,,,,,"Ministry of Infrastructure Development",
"Dar es Salaam","Ilala","Ministry of Justice and Constitutional Affairs","n",,,,,,"Ministry of Justice and Constitutional Affairs",
"Dar es Salaam","Ilala","Ministry of Labor Employment and Youth Dev.","n",,,,,,"Ministry of Labour Employment and Youth Development",
"Dar es Salaam","Ilala","Ministry of Land,housing and human Settlement","n",,,,,,"Ministry of Land, Housing and human Settlement",
"Dar es Salaam","Ilala","Ministry of Livestock Development","n",,,,,,"Ministry of Livestock Development",
